GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1377239692,TicTacToe,0,GAME_OVER,5,4,2,30,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1795532617,TicTacToe,0,GAME_OVER,5,4,2,31,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1548656463,TicTacToe,0,GAME_OVER,5,4,2,32,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-653656736,TicTacToe,0,GAME_OVER,5,4,2,33,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-400394132,TicTacToe,0,GAME_OVER,5,4,2,34,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1422203009,TicTacToe,0,GAME_OVER,5,4,2,35,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1113178468,TicTacToe,0,GAME_OVER,5,4,2,36,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-175367348,TicTacToe,0,GAME_OVER,5,4,2,37,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1362911089,TicTacToe,0,GAME_OVER,5,4,2,38,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-347120262,TicTacToe,0,GAME_OVER,5,4,2,39,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1416514647,TicTacToe,0,GAME_OVER,5,4,2,40,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1570736736,TicTacToe,0,GAME_OVER,5,4,2,41,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1532681659,TicTacToe,0,GAME_OVER,5,4,2,42,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
2038358424,TicTacToe,0,GAME_OVER,5,4,2,43,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
